SAS date,site,event,stratum,Depth (m),net size (m),n/m2 All,n/m2 JUV,prop JUV,F:M ratio,TL,Time
19924,1,1,1020,17.3,1.0,435.448,357.78,0.822,0.500,8.350,0:03:00
19924,1,1,1020,17.3,0.5,336.135,290.37,0.864,.,7.844,0:03:00
19924,2,2,2040,35.3,1.0,301.758,215.18,0.713,0.852,9.172,23:46:00
19924,2,2,2040,35.3,0.5,356.507,305.65,0.857,0.250,7.277,23:46:00
19924,3,3,1020,14.6,1.0,263.561,244.46,0.857,.,6.874,23:34:00
19924,3,3,1020,14.6,0.5,356.507,331.13,0.928,.,6.724,23:34:00
19924,4,4,2040,35.3,1.0,906.547,746.12,0.823,0.306,7.650,23:23:00
19924,4,4,2040,35.3,0.5,738.479,606.21,0.821,0.583,8.014,23:23:00
19924,5,5,4060,50.0,1.0,151.516,82.76,0.546,0.500,10.477,23:06:00
19924,5,5,4060,50.0,0.5,173.161,112.07,0.647,0.429,9.429,23:06:00
19924,6,6,4060,67.9,1.0,50.930,22.92,0.450,0.364,11.044,22:50:00
19924,6,6,4060,67.9,0.5,66.208,45.85,0.692,.,8.899,22:50:00
19924,7,7,2040,26.4,1.0,212.631,94.22,0.443,0.370,11.296,22:38:00
19924,7,7,2040,26.4,0.5,101.859,30.57,0.300,0.300,12.374,22:38:00
19924,8,8,1020,21.2,1.0,154.062,117.14,0.760,0.545,8.641,22:28:00
19924,8,8,1020,21.2,0.5,76.394,50.94,0.667,.,9.357,22:28:00
19924,9,9,2040,42.7,1.0,159.155,100.59,0.632,0.357,9.461,22:12:00
19924,9,9,2040,42.7,0.5,178.254,91.70,0.514,0.100,9.961,22:12:00
19924,10,10,1020,16.5,1.0,199.899,159.15,0.796,0.067,7.964,21:55:00
19924,10,10,1020,16.5,0.5,157.882,122.26,0.774,0.667,8.198,21:55:00
19925,1,11,1020,17.0,1.0,217.724,169.34,0.778,0.333,8.396,23:25:00
19925,1,11,1020,17.0,0.5,478.738,356.60,0.745,.,8.751,23:25:00
19925,2,12,2040,33.5,1.0,399.797,238.10,0.596,0.397,9.922,23:10:00
19925,2,12,2040,33.5,0.5,361.600,183.39,0.507,0.692,10.678,23:10:00
19925,3,13,1020,14.9,1.0,164.248,136.24,0.829,0.143,7.829,22:55:00
19925,3,13,1020,14.9,0.5,280.113,254.71,0.909,.,7.061,22:55:00
19925,4,14,2040,32.8,1.0,552.586,403.62,0.730,0.240,7.992,22:49:00
19925,4,14,2040,32.8,0.5,488.924,361.69,0.740,0.167,8.421,22:49:00
19925,5,15,4060,50.2,1.0,119.685,64.94,0.543,0.789,10.745,22:32:00
19925,5,15,4060,50.2,0.5,122.231,61.13,0.500,0.429,10.066,22:32:00
19925,6,16,4060,69.2,1.0,72.575,35.65,0.491,0.222,10.735,22:18:00
19925,6,16,4060,69.2,0.5,91.673,50.94,0.556,.,10.200,22:18:00
19925,7,17,2040,29.0,1.0,126.051,59.84,0.475,0.333,10.787,22:06:00
19925,7,17,2040,29.0,0.5,127.324,56.04,0.440,0.600,10.931,22:06:00
19925,8,18,1020,21.7,1.0,123.504,68.75,0.557,0.867,10.386,21:58:00
19925,8,18,1020,21.7,0.5,213.904,117.17,0.548,0.857,9.603,21:58:00
19925,9,19,2040,43.4,1.0,197.352,112.04,0.568,0.742,10.453,21:44:00
19925,9,19,2040,43.4,0.5,193.532,81.51,0.421,0.063,11.083,21:44:00
19925,10,20,1020,14.3,1.0,303.031,230.46,0.761,0.391,8.483,21:33:00
19925,10,20,1020,14.3,0.5,269.927,213.96,0.792,.,8.316,21:33:00
19953,1,21,1020,16.7,1.0,201.172,70.03,0.348,0.040,11.187,22:56:00
19953,1,21,1020,16.7,0.5,402.344,157.92,0.392,.,11.035,22:56:00
19953,2,22,2040,34.9,1.0,151.516,52.20,0.345,0.310,11.849,22:44:00
19953,2,22,2040,34.9,0.5,234.276,91.70,0.391,0.375,11.419,22:44:00
19953,3,23,1020,14.9,1.0,268.654,193.53,0.720,.,8.926,22:33:00
19953,3,23,1020,14.9,0.5,86.580,56.04,0.647,0.500,9.505,22:33:00
19953,4,24,2040,39.2,1.0,342.501,243.19,0.710,0.389,9.394,22:21:00
19953,4,24,2040,39.2,0.5,539.854,336.22,0.623,1.167,9.959,22:21:00
19953,5,25,4060,49.7,1.0,147.696,54.75,0.371,0.333,12.568,22:42:00
19953,5,25,4060,49.7,0.5,320.856,122.26,0.381,0.136,12.388,22:42:00
19953,6,26,4060,67.7,1.0,105.679,31.83,0.301,1.211,13.607,21:53:00
19953,6,26,4060,67.7,0.5,101.859,5.09,0.050,1.000,15.402,21:53:00
19953,7,27,2040,26.3,1.0,151.516,30.56,0.202,0.614,14.212,21:44:00
19953,7,27,2040,26.3,0.5,112.045,25.47,0.227,0.300,13.381,21:44:00
19953,8,28,1020,19.9,1.0,148.969,48.38,0.325,0.824,12.039,21:37:00
19953,8,28,1020,19.9,0.5,183.346,30.57,0.167,0.222,12.794,21:37:00
19953,9,29,2040,43.2,1.0,140.056,31.83,0.227,0.704,13.482,21:24:00
19953,9,29,2040,43.2,0.5,234.276,91.70,0.391,2.000,12.443,21:24:00
19953,10,30,1020,23.5,1.0,157.882,85.31,0.666,0.263,10.707,21:03:00
19953,10,30,1020,23.5,0.5,132.417,66.23,0.778,.,10.078,21:03:00
19986,1,31,1020,17.0,1.0,269.927,19.10,0.071,0.662,13.875,22:57:00
19986,1,31,1020,17.0,0.5,86.580,15.28,0.176,0.500,13.067,22:57:00
19986,2,32,2040,35.4,1.0,143.876,24.19,0.168,0.512,13.619,22:45:00
19986,2,32,2040,35.4,0.5,76.394,20.38,0.267,0.750,12.982,22:45:00
19986,3,33,1020,15.0,1.0,644.259,150.24,0.233,0.465,11.928,22:21:00
19986,3,33,1020,15.0,0.5,504.203,157.92,0.313,0.118,11.633,22:21:00
19986,4,34,2040,33.5,1.0,426.535,140.06,0.328,0.660,11.794,22:07:00
19986,4,34,2040,33.5,0.5,275.020,137.54,0.500,0.300,11.089,22:07:00
19986,5,35,4060,50.1,1.0,273.747,58.57,0.214,0.621,13.305,21:50:00
19986,5,35,4060,50.1,0.5,198.625,50.94,0.256,0.545,13.246,21:50:00
19986,6,36,4060,62.8,1.0,241.916,34.38,0.142,0.780,14.133,21:35:00
19986,6,36,4060,62.8,0.5,203.718,50.94,0.250,0.714,13.394,21:35:00
19986,7,37,2040,27.3,1.0,71.301,11.46,0.161,1.083,13.686,21:25:00
19986,7,37,2040,27.3,0.5,86.580,45.85,0.529,0.500,11.446,21:25:00
19986,8,38,1020,19.3,1.0,45.837,2.55,0.056,0.500,13.811,21:14:00
19986,8,38,1020,19.3,0.5,20.372,5.09,0.250,1.000,12.914,21:14:00
19986,9,39,2040,37.4,1.0,89.127,10.19,0.114,1.053,14.912,21:04:00
19986,9,39,2040,37.4,0.5,147.696,20.38,0.138,0.455,14.016,21:04:00
19986,10,40,1020,19.0,1.0,150.242,20.37,0.136,0.862,13.064,20:53:00
19986,10,40,1020,19.0,0.5,213.904,35.66,0.167,0.833,12.760,20:53:00
,,,,,,,,,,,
,,,,,,232.685,127.738,,0.541,,
,,,,,,162.998,134.365,,0.335,,
